web-scraper-order,web-scraper-start-url,vetements_enfants,vetements_enfants-href,type_clothes,price,address,image_link-src
"1732707568-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724143","Tenue enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707575-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724146","Tenue enfant","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg"
"1732707581-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Abaya enfant Spéciale Tabaski","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-speciale-tabaski-725848","Abaya enfant Spéciale Tabaski","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal",""
"1732707588-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Abaya enfant 2 ans - 5 ans","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-2-ans-5-ans-727626","Abaya enfant 2 ans - 5 ans","18 000 CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1732707594-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-735207","Costume enfant","20 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752448_uploaded_image1_1563350256.56.png"
"1732707601-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Couches et vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/couches-et-vetements-enfants-735868","Couches et vêtements enfants","8 000 CFA","Ngor, Dakar, Sénégal",""
"1732707607-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfant-739801","Robe pour enfant","35 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3601827_uploaded_image1_1646873978.jpg"
"1732707622-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Grenouillère - Ensemble Femme","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-ensemble-femme-740349","Grenouillère - Ensemble Femme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1732707628-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-752408","Blouson enfant","18 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg"
"1732707635-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-752448","Costume enfant","20 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png"
