type_clothes,price,adress,image_link
Robe,5000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg
Robe,6000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
Robes,10000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg
Ensemble,5000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg
Ensemble,5000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg
Robe,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg
Vêtement,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg
Vêtements,8000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg
Slip,2500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg
Vêtements,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg
Vêtements,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg
Djellaba,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg
Djellaba,15000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg
Djellaba,10000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg
Djellaba,12500,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg
Ensemble,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg
Vêtements,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg
Slips,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg
Vetement,10000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Robe,6000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg
Ensemble,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg
Ensemble,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg
Ensemble,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg
Robes,10000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg
Robes,10000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg
Robes,10000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg
Robes,10000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg
Vêtements,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659704_uploaded_image1_1711412034.jpg
