type_clothes,price,address,image_link-src
Blouson Enfant,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Collection robes de Tabaski,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_766924_uploaded_image1_1563733037.86.png
Robe,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5026420_uploaded_image1_1730731217.jpg
Robe enfant,8 000 CFA,Sénégal,https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg
Vêtements enfants,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Blouson pour enfant,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Friperie de 1er choix,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_874399_uploaded_image1_1566725623.64.png
Vêtements enfants,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Vêtements enfants,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Blouson enfant,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Blouson enfant,16 000 CFA,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Vêtements enfants,21 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Vêtements enfants,10 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Vêtements enfants,12 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Vêtements Enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Vêtements enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg
Blousons enfants,Prix sur demande,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Robe pour enfant,7 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg
Robe classe,5 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3339695_uploaded_image1_1631884032.jpg
Blouson enfant,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Blouson enfants,Prix sur demande,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Ensemble bébé,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2732121_uploaded_image1_1604324288.jpg
Vêtements Enfants,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
Chemises pour enfants,Prix sur demande,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2485966_uploaded_image1_1595790569.jpg
Robes,1 250 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_1159823_uploaded_image1_1572990841.8.png
Chemise,12 000 CFA,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189914_uploaded_image1_1590707777.jpg
Habillement,3 000 CFA,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
Jupe,3 000 CFA,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3737301_uploaded_image1_1654947992.jpg
Vêtements enfant,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Jupe,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3737301_uploaded_image1_1654947992.jpg
Jupe fille,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1043343_uploaded_image1_1570627951.98.png
Habillement,Prix sur demande,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
Tenue enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Ensemble enfant,10 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3654415_uploaded_image1_1649975242.jpg
T-shirt - enfant,5 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3051993_uploaded_image1_1618077955.jpg
Robe enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3752164_uploaded_image1_1655824806.jpg
Pantalon - enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061864_uploaded_image1_1571051920.44.png
Chemise - enfant,7 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061891_uploaded_image1_1571052122.28.png
Chemise - enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061891_uploaded_image1_1571052122.28.png
Chemise-enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061891_uploaded_image1_1571052122.28.png
Ensemble - enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3654415_uploaded_image1_1649975242.jpg
Pantalon enfant,8 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1061864_uploaded_image1_1571051920.44.png
