type_shoes,price,adress,image_link
Chaussures,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4396653_uploaded_image1_1696082279.jpg
Chaussures,20000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4430647_uploaded_image1_1698289087.jpg
Sandales,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg
Chaussures,5000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg
Chaussures,8500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381758_uploaded_image1_1695064657.jpg
Chaussures,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375022_uploaded_image1_1694607723.jpg
Chaussures,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375003_uploaded_image1_1694607226.jpg
Chaussures,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4372705_uploaded_image1_1694464836.jpg
Chaussures,11000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg
Chaussures,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4397886_uploaded_image1_1696179932.jpg
Chaussures,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4396320_uploaded_image1_1696061527.jpg
Chaussures,15000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394927_uploaded_image1_1695956109.jpg
Chaussures,6000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg
Baskets,10000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4385753_uploaded_image1_1695314124.jpg
Chaussures,28000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg
Chaussures,20000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4361430_uploaded_image2_1693749843.jpeg
Chaussures,20000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4351852_uploaded_image1_1693108691.jpg
Chaussures,6000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4351183_uploaded_image1_1693054139.jpg
Chaussures,15000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures,18000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327769_uploaded_image1_1691537125.jpg
Chaussures,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4300380_uploaded_image1_1689770515.jpg
Chaussures,5000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287055_uploaded_image1_1688860044.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173844_uploaded_image1_1681305896.jpg
Baskets,20000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201412_uploaded_image1_1683164968.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165640_uploaded_image1_1680784379.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165637_uploaded_image1_1680784317.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165645_uploaded_image1_1680784454.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165635_uploaded_image1_1680784281.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165634_uploaded_image1_1680784244.jpg
