type_clothes,price,adress,image_link
Polo,10000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5059345_uploaded_image1_1732456648.jpg
Veste,15000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017930_uploaded_image1_1730288595.jpg
Chemise,Prixsurdemande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5056118_uploaded_image1_1732266346.jpg
Ensemble,40000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5055867_uploaded_image1_1732245108.jpg
Ensemble,50000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5055866_uploaded_image1_1732245045.jpg
Pull-over,25000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5055865_uploaded_image1_1732244969.jpg
Ensemble,Prixsurdemande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5055538_uploaded_image1_1732222164.jpg
Dialabé,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5012319_uploaded_image1_1729947562.jpg
Ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5007455_uploaded_image1_1729679311.jpg
Ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5007453_uploaded_image1_1729679269.jpg
Blouson,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5025750_uploaded_image1_1730714696.jpg
Pantalon,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5005656_uploaded_image1_1729592761.jpg
pull,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028858_uploaded_image1_1730843206.jpg
pull,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028857_uploaded_image1_1730843166.jpg
Capuche,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028856_uploaded_image1_1730843121.jpg
ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028853_uploaded_image1_1730843021.jpg
Ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028851_uploaded_image1_1730842982.jpg
ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028849_uploaded_image1_1730842943.jpg
Pantalons,9000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046295_uploaded_image1_1731706849.jpg
Ensemble,14000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5046243_uploaded_image1_1731704884.jpg
Jacket,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5046241_uploaded_image1_1731704736.jpg
Abaya,10000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4995725_uploaded_image1_1729028892.jpg
Ensemble,40000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5032793_uploaded_image1_1731030761.jpg
T-shirt,2000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5029024_uploaded_image1_1730854647.jpg
Ensemble,Prixsurdemande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028589_uploaded_image1_1730831295.jpg
Vêtements,5000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5025673_uploaded_image1_1730712315.jpg
T-shirt,5000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5025658_uploaded_image1_1730711924.jpg
T-shirt,5000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5025627_uploaded_image1_1730710793.jpg
Vêtements,Prixsurdemande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5024561_uploaded_image1_1730640307.jpg
Vêtements,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5023466_uploaded_image1_1730561147.jpg
T-shirts,4500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5022929_uploaded_image1_1730540191.jpg
Ensemble,15000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5021535_uploaded_image1_1730468104.jpg
Ensemble,15000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5021529_uploaded_image1_1730467933.jpg
Ensemble,28000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5020704_uploaded_image1_1730422547.jpg
Patalon,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5019694_uploaded_image1_1730382950.jpg
Sort,3500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976520_uploaded_image1_1728030825.jpg
T.,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976517_uploaded_image1_1728030673.jpg
Gilet,5000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5013631_uploaded_image1_1730051834.jpg
Ensemble,Prixsurdemande,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5012650_uploaded_image1_1729966550.jpg
Liquette,15000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967156_uploaded_image1_1727620453.jpg
Ensemble,15000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961802_uploaded_image1_1727281230.jpg
T-shirt,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961445_uploaded_image1_1727269041.jpg
Casquette,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961432_uploaded_image1_1727268622.jpg
T-shirt,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961438_uploaded_image1_1727268883.jpg
Ensemble,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961420_uploaded_image1_1727268297.jpg
Ensemble,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961416_uploaded_image1_1727268241.jpg
Ensemble,7000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961371_uploaded_image1_1727266653.jpg
Polo,4000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961359_uploaded_image1_1727266345.jpg
