type_shoes,price,address,image_link-src
Mocassins cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4827692_uploaded_image1_1720187683.jpg
Chaussures Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Sandales crochet en cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2317338_uploaded_image1_1592650257.jpg
Crochet en cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2323714_uploaded_image1_1592767510.jpg
Sandales Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2341406_uploaded_image1_1593031346.jpg
Sandales,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Air Force Nike,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2317817_uploaded_image1_1592655357.jpg
Baskets Nike Under,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2317819_uploaded_image1_1592655369.jpg
Baskets Nike AF,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2346070_uploaded_image1_1593101224.jpg
Baskets Vapor max,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2317827_uploaded_image1_1592655444.jpg
Chaussures Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Timberland,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2586990_uploaded_image1_1598816863.jpg
Wallabies cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2324521_uploaded_image1_1592784744.jpg
Baskets Nike 270,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326616_uploaded_image1_1592826415.jpg
Chaussures MC Queen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328577_uploaded_image1_1592844206.jpg
Sandales homme,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2800924_uploaded_image1_1606844322.jpg
Chaussures homme,,Sénégal,https://images.coinafrique.com/thumb_3047707_uploaded_image2_1617895449.jpeg
Sandales homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4932549_uploaded_image1_1725710116.jpg
Sandales,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Baskets Nike TN,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930602_uploaded_image1_1725607780.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Sandales  homme,,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2320771_uploaded_image1_1592706807.jpg
Baskets Alexander McQueen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2321197_uploaded_image1_1592728393.jpg
Baskets Adidas,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Baskets Nike 720,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326705_uploaded_image1_1592826899.jpg
Baskets Air max,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures Levis,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2322332_uploaded_image1_1592746720.jpg
Chaussures orthopédiques,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3081469_uploaded_image1_1619459355.jpg
Chaussures dockside,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2323304_uploaded_image1_1592760710.jpg
Mocassins en daim,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3220759_uploaded_image1_1625920912.jpg
Chaussures de ville,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4870670_uploaded_image1_1722495900.jpg
Chaussures Weston en daim,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2323562_uploaded_image1_1592764600.jpg
Sandales homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4932549_uploaded_image1_1725710116.jpg
Sandales,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Sandales cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
Chaussures crochet cuir,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2323714_uploaded_image1_1592767510.jpg
Chaussures homme,,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4356367_uploaded_image1_1693409190.jpg
Sandales Gucci,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3425941_uploaded_image1_1636293786.jpg
Wallabies,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773175_uploaded_image1_1717197574.jpg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures Sebago,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg
Chaussures,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Chaussures homme,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5041529_uploaded_image1_1731493422.jpg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Baskets Presto,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2708236_uploaded_image1_1603224915.jpg
Chaussures homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Mocassins homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4872505_uploaded_image1_1722556069.jpg
Baskets Adidas Gazelles,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3165505_uploaded_image1_1623359326.jpg
Boots,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3745796_uploaded_image1_1655406884.jpg
Chaussures All stars,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Chaussures Stan Smith,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4866851_uploaded_image1_1722296937.jpg
Chaussures All Star,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Baskets Balenciaga,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2932285_uploaded_image1_1612462567.jpg
Chaussures Nike Vapor Max,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326606_uploaded_image1_1592826368.jpg
Chaussures Alexander MC Queen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326642_uploaded_image1_1592826519.jpg
Baskets Nike Air Max,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Baskets Nike Zoom,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3518805_uploaded_image1_1641873386.jpg
Baskets Nike Air 200,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326658_uploaded_image1_1592826650.jpg
Baskets Nike 720 8,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2326705_uploaded_image1_1592826899.jpg
Boots homme,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3745796_uploaded_image1_1655406884.jpg
Mocassins,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4872505_uploaded_image1_1722556069.jpg
Baskets MC Queen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2327327_uploaded_image1_1592831653.jpg
Baskets Nike AF,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2346070_uploaded_image1_1593101224.jpg
Baskets Jordan,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4203569_uploaded_image1_1683283931.jpg
Baskets Nike AF Dior,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2327356_uploaded_image1_1592831838.jpg
Chaussures Timberland,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2483462_uploaded_image1_1595711688.jpg
Timberland,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3695039_uploaded_image1_1652472408.jpg
Baskets Nike TN,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930602_uploaded_image1_1725607780.jpg
Wallabies,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773175_uploaded_image1_1717197574.jpg
Baskets Dior,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3242278_uploaded_image1_1627073921.jpg
Baskets Air Max,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Chaussures Jordan one,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328376_uploaded_image1_1592842428.jpg
Baskets Jordan 34,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328382_uploaded_image1_1592842507.jpg
Baskets Puma,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247880_uploaded_image1_1627416265.jpg
Baskets Nike Presto,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328412_uploaded_image1_1592842907.jpg
Chaussures Timberland,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2586990_uploaded_image1_1598816863.jpg
Chaussures Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774426_uploaded_image1_1717266824.jpg
Baskets Dior,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3242278_uploaded_image1_1627073921.jpg
Chaussures Reebok,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4749757_uploaded_image1_1715997855.jpg
Baskets New Balance,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328444_uploaded_image1_1592843237.jpg
Baskets Nike,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5061569_uploaded_image1_1732572616.jpg
Mocassins,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4872505_uploaded_image1_1722556069.jpg
Mcqueen,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2328475_uploaded_image1_1592843457.jpg
