type_shoes,price,adress,image_link
Ensemble,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5012325_uploaded_image1_1729947723.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5051436_uploaded_image1_1732017499.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5007461_uploaded_image1_1729679422.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5007459_uploaded_image1_1729679365.jpg
Baskets,18000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5049981_uploaded_image1_1731943856.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5006001_uploaded_image1_1729601821.jpg
Chaussures,Prixsurdemande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5006002_uploaded_image1_1729601856.jpg
Baskets,25000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5048636_uploaded_image1_1731873203.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046898_uploaded_image1_1731759580.jpg
Chaussures,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5046248_uploaded_image1_1731705008.jpg
Babouches,10000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046036_uploaded_image1_1731695505.jpg
Baskets,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5041529_uploaded_image1_1731493422.jpg
Chaussures,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041047_uploaded_image1_1731457949.jpg
Baskets,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040993_uploaded_image1_1731455106.jpg
Chaussures,27000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5040990_uploaded_image1_1731455007.jpg
Baskets,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5040981_uploaded_image1_1731454854.jpg
Chaussures,30000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5040978_uploaded_image1_1731454743.jpg
Chaussures,Prixsurdemande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5040022_uploaded_image1_1731418821.jpg
Baskets,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996578_uploaded_image1_1729077988.jpg
Chaussures,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5039611_uploaded_image1_1731407139.jpg
Chaussures,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5039601_uploaded_image1_1731406979.jpg
Baskets,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037972_uploaded_image1_1731325427.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992976_uploaded_image1_1728910542.jpg
Chaussures,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992974_uploaded_image1_1728910435.jpg
Chaussures,17000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992141_uploaded_image1_1728862906.jpg
Tapettes,17000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992139_uploaded_image1_1728862810.jpg
Chaussures,17000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992136_uploaded_image1_1728862658.jpg
Chaussures,17000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992134_uploaded_image1_1728862494.jpg
Chaussures,17000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992132_uploaded_image1_1728862358.jpg
Chaussures,20000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992128_uploaded_image1_1728862055.jpg
Chaussures,18000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992130_uploaded_image1_1728862218.jpg
Tapettes,18000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4992104_uploaded_image1_1728861198.jpg
