type_clothes,price,address,image_link-src
Vêtements Homme,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtement homme,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Chemises Giant,17 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3834188_uploaded_image1_1660740702.jpg
T-shirt coton,Prix sur demande,"Geule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961445_uploaded_image1_1727269041.jpg
Pantalons coton,6 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2886464_uploaded_image1_1610478663.jpg
Vêtements  homme,6 000 CFA,"Geule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Ensemble,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604456_uploaded_image1_1708515566.71.jpeg
Ensemble homme,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604456_uploaded_image1_1708515566.71.jpeg
Vêtements homme,15 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Chemise Giant,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3834188_uploaded_image1_1660740702.jpg
Chemise homme,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5060988_uploaded_image1_1732548980.25.jpeg
chemise Giant,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3834188_uploaded_image1_1660740702.jpg
Chemise classe Giant,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2228360_uploaded_image1_1591289641.jpg
Pantalon homme,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3847580_uploaded_image1_1661508975.jpg
Pantalon chic,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2228461_uploaded_image1_1591290438.jpg
Pantalons chics,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2228461_uploaded_image1_1591290438.jpg
T-shirts homme,6 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717849_uploaded_image1_1714478046.02.jpeg
T-shirt,6 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717861_uploaded_image1_1714478418.54.jpeg
Tenue homme,20 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4278238_uploaded_image1_1688343588.jpg
Ensemble pour homme,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604456_uploaded_image1_1708515566.71.jpeg
Chemise,5 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_5059323_uploaded_image1_1732454589.jpg
Polo Lacoste,5 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961359_uploaded_image1_1727266345.jpg
Ensemble  complet,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3260796_uploaded_image1_1628026396.jpg
Short,6 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4925578_uploaded_image1_1725384528.jpg
T-shirt,4 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg
Lacoste,10 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829355_uploaded_image1_1660431025.jpg
Vêtements  homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Pantalons kaki,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
Vêtements homme,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Vêtements homme,11 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Débardeurs homme,8 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4515926_uploaded_image1_1703682502.jpg
Pantalons kaki,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
Pantalon Kaki,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
Ensemble blouson homme,25 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3452177_uploaded_image1_1637751257.jpg
Ensemble blouson,25 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3479888_uploaded_image1_1639236420.jpg
Blouson,25 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042083_uploaded_image1_1731512018.58.jpeg
Vêtements,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
Pantalons Kaki,10 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570539_uploaded_image1_1706696022.93.jpeg
T-shirt,3 500 CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5038258_uploaded_image1_1731333237.jpg
T-shirt,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717861_uploaded_image1_1714478418.54.jpeg
Tee-shirts,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3558228_uploaded_image1_1644268644.jpg
Lacoste,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829355_uploaded_image1_1660431025.jpg
Vêtements,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5064576_uploaded_image1_1732729231.jpg
