type_shoes,price,address,image_link-src
Mocassins Enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Chaussures - enfant,,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg
Chaussures Enfants,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfants,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfants,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg
Claquettes enfants,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2972548_uploaded_image1_1614340301.jpg
Chaussures enfants,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures bébé,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1270845_uploaded_image1_1575041164.15.png
Chaussures classe,,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg
Chaussures,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Claquettes pour fille,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1352820_uploaded_image1_1576580373.29.png
Coffrets pour enfants,,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_1357961_uploaded_image1_1576667812.04.png
Chaussures pour fille,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247099_uploaded_image1_1627387079.jpg
Chaussures anti-dérapantes,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1381082_uploaded_image1_1577115739.61.png
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfant,,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1409266_uploaded_image1_1577711646.42.png
Chaussures enfants,,"Sicap-Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777593_uploaded_image1_1657274825.jpg
Sandales pour enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1565794_uploaded_image1_1580386215.45.png
Baskets Jordan,,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1566247_uploaded_image1_1580391008.81.png
Baskets Jordan 6,,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1566247_uploaded_image1_1580391008.81.png
Chaussures enfant,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures pour enfant,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures Enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures enfants,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Chaussures  enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1612546_uploaded_image1_1581098603.48.png
Claquettes filles,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1679922_uploaded_image1_1582210105.85.png
Chaussures enfants,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfant,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures enfants,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
Chaussures enfant,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
Chaussures bébé,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Chaussures enfant Cat & Jack,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1873847_uploaded_image1_1585663572.73.png
Chaussures bébé garçon,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures / bébé fille,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures bébé,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg
Chaussures enfant,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2818578_uploaded_image1_1607458128.jpg
Chaussures enfants,,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2818578_uploaded_image1_1607458128.jpg
Chaussures enfants,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065087_uploaded_image1_1588754465.jpg
Chaussures enfant,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065087_uploaded_image1_1588754465.jpg
Chaussures enfants,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065087_uploaded_image1_1588754465.jpg
Chaussures enfant,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures /  garçon,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2076146_uploaded_image1_1588892627.jpg
Mocassins enfant,,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2076365_uploaded_image1_1588895603.jpg
Chaussures enfant,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg
Chaussures enfant,,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
Chaussures enfant,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
Chaussures enfant,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Claquettes enfants,,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2141792_uploaded_image1_1589925335.jpg
Chaussures enfant,,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures pour bébé,,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg
Chaussures pour enfant,,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
Mocassins enfant,,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2215961_uploaded_image1_1591114475.jpg
Claquettes enfant,,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2972548_uploaded_image1_1614340301.jpg
